Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
48	15.9288435	0.0	15.9288435	15.9288435	737.0	0.99507713	1.7847664	8.199912	-2.2396123	49000	1.3136864e-07	0.59233147	0.20871004	-0.57054216	-1.4332049	0.32478887	0.603	2.0	2785.5951302051544
49	11.601725	0.0	11.601725	11.601725	1000.0	1.1243095	1.1500803	8.347547	0.72613657	50000	4.851818e-08	0.27055582	-0.0132206455	-0.25315058	-1.4328517	0.0024105473	0.127	79.0	2836.674129962921
50	38.586193	0.0	38.586193	38.586193	788.0	1.4725813	1.4770925	8.095002	-0.21940047	51000	8.046627e-10	21.633299	0.051037986	-17.525152	-1.423839	0.14515822	0.468	1.0	2882.7196638584137
51	37.245735	0.0	37.245735	37.245735	740.0	3.5791008	2.2097735	8.448307	1.8257033	52000	-7.041544e-08	3.968036	0.13666847	-2.874247	-1.4238514	0.5403139	0.684	1.0	2934.787712097168
52	36.797424	0.0	36.797424	36.797424	744.0	3.7197285	3.308279	12.505612	1.0954264	53000	6.807968e-10	1.1332612	0.16240585	-0.79372513	-1.4238639	0.5022798	0.648	1.0	2992.0478167533875
53	36.630684	0.0	36.630684	36.630684	693.0	3.4172246	3.3209877	14.752906	1.0549853	54000	-4.1782855e-08	0.5136631	0.06454974	-0.3406728	-1.4238971	0.18465668	0.545	1.0	3047.1292073726654
54	16.170713	0.0	16.170713	16.170713	821.0	5.5721574	5.281977	15.986074	1.2539797	55000	-5.567074e-08	51.465897	0.12909162	-51.4455	-1.4239155	0.37551764	0.577	1.0	3096.3387010097504
55	16.167772	0.0	16.167772	16.167772	798.0	1.5214269	1.5706196	8.271659	-0.4844846	56000	1.12801795e-08	0.04981097	0.09158224	-0.028991863	-1.4239305	0.14362593	0.514	1.0	3157.3887391090393
56	16.056015	0.0	16.056015	16.056015	780.0	1.4803176	1.581375	8.333806	-0.37584865	57000	-9.231456e-08	0.028056797	0.058037564	-0.017123953	-1.4239208	0.10405623	0.434	1.0	3205.958927631378
57	12.737322	0.0	12.737322	12.737322	1000.0	1.1224165	1.1367825	8.28929	0.6677375	58000	-5.185604e-08	0.16672225	-0.016656566	-0.14598331	-1.423952	0.0016660551	0.164	79.0	3256.021804332733
58	13.714926	0.0	13.714926	13.714926	669.0	1.3680909	1.5224242	8.096376	0.44773483	59000	5.994737e-08	0.17545405	0.03924719	-0.16367131	-1.4370613	0.14407307	0.517	1.0	3298.1722428798676
59	13.487494	0.0	13.487494	13.487494	651.0	1.380378	1.6623319	8.337534	-0.41691554	60000	-3.647059e-09	0.0061863773	0.039990462	-0.00285095	-1.4371765	0.08607829	0.409	1.0	3341.247476577759
60	13.337407	0.0	13.337407	13.337407	642.0	1.3892277	1.6619025	8.3754635	-0.63355887	61000	4.8846008e-08	0.017462142	0.008097474	-0.007883663	-1.4373014	0.021374691	0.218	1.0	3390.517988920212
61	13.539619	0.0	13.539619	13.539619	650.0	1.3272202	1.6408592	8.287338	-0.671564	62000	9.477138e-09	0.01094016	0.025110813	-0.0080243535	-1.4374596	0.026168099	0.342	1.0	3438.675555229187
62	13.248698	0.0	13.248698	13.248698	660.0	1.4275184	1.633473	8.389878	-0.78070384	63000	6.2525274e-08	0.024168506	0.03200645	-0.022225233	-1.437603	0.07778031	0.505	1.0	3481.586033821106
63	14.742878	0.0	14.742878	14.742878	675.0	1.2875103	1.6866373	8.379938	-0.8347069	64000	-1.1503697e-08	0.05489761	0.06240011	-0.050177716	-1.4377129	0.16487378	0.631	1.0	3528.2686076164246
64	12.144382	3.0216146	15.1659975	9.122768	452.0	1.6655779	1.8942956	8.405124	-0.6004338	65000	-3.33786e-08	0.07580811	0.04909121	-0.06803805	-1.4378381	0.22000664	0.629	1.0	3577.9257345199585
65	15.327561	0.0	15.327561	15.327561	724.0	1.554824	1.5870037	8.377714	-0.5800537	66000	-6.782263e-08	0.022091735	0.07803305	-0.01916915	-1.437946	0.44515064	0.734	1.0	3618.2728085517883
66	15.441857	0.0	15.441857	15.441857	754.0	1.3650249	1.6788592	8.42352	-0.6836408	67000	7.434189e-08	0.041811254	0.16903833	-0.03862005	-1.4380404	0.37961996	0.605	1.0	3665.2939319610596
67	16.323484	0.0	16.323484	16.323484	798.0	1.4007498	1.6045687	8.307383	-0.6535411	68000	9.088218e-08	0.009959283	0.16984545	-0.0078925565	-1.4381126	0.7498474	0.66	1.0	3722.522022485733
68	17.25064	0.0	17.25064	17.25064	843.0	1.4396596	1.5945755	8.382174	-0.4631511	69000	-6.578304e-08	0.018275961	0.17716755	-0.0141967125	-1.4381639	0.81702244	0.714	1.0	3793.993404865265
69	12.653226	0.0	12.653226	12.653226	1000.0	0.58708876	1.2250484	8.297739	0.18829727	70000	9.995699e-08	0.0379426	0.00504816	-0.017794587	-1.4381981	0.021221844	0.331	3.0	3890.299189567566
70	10.736906	0.0	10.736906	10.736906	1000.0	0.7781006	1.1740173	8.244767	0.28357297	71000	-6.9141386e-09	0.09588528	0.011080388	-0.07917282	-1.4382524	0.022034036	0.402	1.0	3968.7087938785553
71	11.547146	0.0	11.547146	11.547146	1000.0	0.48536047	1.227686	8.178112	0.0598647	72000	-8.225441e-09	0.00832402	0.042903204	-0.0063882633	-1.4382422	0.087349646	0.677	1.0	4022.4613180160522
72	9.039502	0.06311703	9.102619	8.976385	237.5	1.5699987	1.9319474	8.334237	0.1770525	73000	1.7225743e-08	0.5983652	0.025544373	-0.5634512	-1.4382421	0.062336188	0.473	1.0	4077.564498901367
73	8.657295	0.082753256	8.72785	8.524451	224.0	1.6227212	2.3756597	8.051228	0.11646241	74000	-2.8371812e-08	0.065657735	0.016407168	-0.05372802	-1.4381808	0.025765346	0.316	1.0	4138.626942873001
74	12.021652	0.0	12.021652	12.021652	1000.0	0.36550355	1.2344768	7.928436	0.0015925169	75000	-7.808208e-08	0.0697233	0.03595787	-0.06344358	-1.4381001	0.07375855	0.62	1.0	4192.445703983307
75	10.78165	0.0	10.78165	10.78165	386.0	0.8955576	1.6784737	8.071095	0.09616971	76000	8.931756e-08	0.027745826	0.03660249	-0.021265328	-1.4379745	0.043534033	0.548	1.0	4247.093592882156
76	14.016154	0.0	14.016154	14.016154	1000.0	0.64252096	1.2301948	8.139758	0.140145	77000	-2.6762486e-08	0.060566355	0.047149755	-0.053515255	-1.4378921	0.0736262	0.666	1.0	4309.116049528122
77	9.933689	0.15932535	10.142726	9.756338	311.33334	1.692648	2.1036558	8.100912	0.44069737	78000	-9.790063e-08	0.07311665	0.029943362	-0.06706212	-1.4378191	0.024774464	0.453	1.0	4377.5580043792725
78	9.432757	0.30860043	9.741358	9.124157	252.5	1.2780132	1.9535096	8.094728	-0.10485643	79000	7.905066e-08	0.02664285	0.020115143	-0.0068883877	-1.4377681	0.03152134	0.321	1.0	4447.3625247478485
79	9.596527	0.01676644	9.620212	9.583703	262.33334	1.5134107	2.1868846	8.11952	0.00918591	80000	4.735589e-08	0.011060235	-0.0018712279	-0.004718289	-1.4377632	0.016808327	0.163	2.0	4530.655537605286
80	9.152347	0.115102254	9.271489	8.966481	231.0	1.7274021	2.3661318	8.056301	-0.10419649	81000	-1.0871887e-07	0.017993743	-0.0071400683	-0.013450921	-1.4378132	0.015281572	0.206	4.0	4604.998249530792
81	9.16765	0.068783514	9.257344	9.072277	236.5	1.5782757	2.3937573	7.954946	-0.19989097	82000	-4.480779e-08	0.0062952377	-0.006287995	-0.0016523423	-1.4379909	0.015200684	0.216	1.0	4675.786556005478
82	9.747857	0.39022964	10.186745	9.238668	294.0	1.387922	2.1764567	7.9455123	-0.17670286	83000	6.0379506e-08	0.015787238	0.0106699765	-0.007419276	-1.4380249	0.05031729	0.463	1.0	4757.524252653122
83	9.77985	0.14304543	9.922895	9.636805	285.0	1.1801736	1.9697688	8.066493	-0.052573264	84000	-9.832531e-08	0.043175675	0.007385492	-0.020104581	-1.4380367	0.028887784	0.251	1.0	4816.469834566116
84	9.282715	0.7080512	10.011652	8.115187	235.0	1.868571	2.303907	8.094004	0.103161395	85000	5.094707e-08	0.2897035	0.005217954	-0.27587992	-1.4380813	0.046111967	0.483	1.0	4888.306226730347
85	8.337677	0.18834828	8.597277	8.156219	181.33333	1.2182726	2.2627172	8.074344	-0.24953103	86000	1.0326505e-08	0.03173317	0.03956266	-0.010830795	-1.4381005	0.056014784	0.547	1.0	4968.259539842606
86	8.230253	0.09954992	8.403454	8.105784	174.6	1.6521757	2.5885615	8.001127	-0.27661407	87000	5.710125e-08	0.025753131	0.055980965	-0.01572518	-1.4381443	0.06648891	0.617	1.0	5058.8346428871155
87	8.1677265	0.08008693	8.265719	8.058903	169.4	1.5561877	2.5868108	7.871335	-0.39399564	88000	-1.7151237e-08	0.007739671	0.06657809	-0.004155057	-1.438125	0.15263315	0.714	1.0	5126.763734340668
88	9.182264	0.7545542	10.113337	8.2652235	233.33333	1.1958423	2.1260889	7.812981	-0.38795525	89000	1.0478497e-07	0.07294885	0.07450114	-0.054565627	-1.4380991	0.14715227	0.695	1.0	5185.700153589249
89	8.788331	0.0	8.788331	8.788331	194.0	0.85250807	1.6281642	8.078333	-0.07829672	90000	1.6033649e-08	0.053023443	0.06436454	-0.036035687	-1.4380456	0.05244269	0.575	1.0	5237.74735045433
90	9.163849	0.8335743	10.4384575	8.118165	236.25	1.6024097	2.329056	8.063187	-0.33190352	91000	2.5823713e-08	0.03877923	0.04506106	-0.01889926	-1.4379967	0.074356355	0.601	1.0	5300.537089347839
91	8.047837	0.06165883	8.118282	7.958843	149.5	1.4475757	2.369546	8.006255	-0.23268443	92000	2.5600196e-08	0.06486424	0.045681495	-0.050903	-1.4379634	0.08128585	0.598	1.0	5362.661580085754
92	8.12485	0.034551185	8.180164	8.06665	147.83333	1.6363394	2.7114837	7.816094	-0.30671632	93000	3.9532782e-08	0.013012139	0.03985111	-0.0039916197	-1.4379205	0.03811929	0.529	1.0	5431.514174461365
93	7.9797764	0.1291439	8.197169	7.808957	151.0	1.6008177	2.7064977	7.753634	-0.4085368	94000	5.438924e-08	0.011031915	0.024296701	-0.0023622122	-1.4378867	0.031506076	0.428	1.0	5498.9380838871
94	8.261301	0.41000208	9.056731	7.918972	161.0	1.5535926	2.430911	7.6987205	-0.43653357	95000	5.990267e-08	0.037506863	0.0129208835	-0.02397607	-1.437826	0.024877574	0.43	1.0	5570.176865339279
95	8.749598	0.93868446	9.911514	7.7885466	193.2	1.5695094	2.5372	7.862853	-0.45572037	96000	-9.059906e-09	0.035388272	0.032339398	-0.019251997	-1.4377837	0.04156826	0.505	1.0	5645.2212870121
96	8.472204	0.9009594	10.2497835	7.7450085	180.8	1.5611452	2.5462432	7.9665475	-0.31439984	97000	-1.9744038e-09	0.033613708	0.051384293	-0.012051119	-1.4377828	0.079823636	0.601	1.0	5718.874451637268
97	8.171634	0.58901745	9.449516	7.73057	161.5	1.7361549	2.6352403	7.814908	-0.2981221	98000	-2.6941299e-08	0.033082373	0.04983916	-0.014240682	-1.4378104	0.07584722	0.577	1.0	5791.218728542328
98	7.9652815	0.099694766	8.075648	7.8135066	146.0	1.5118794	2.4904733	7.7175665	-0.45629287	99000	-7.387996e-08	0.0125534935	0.042130593	-0.002513134	-1.4378483	0.048163146	0.579	1.0	5857.970603227615
99	7.944467	0.0	7.944467	7.944467	132.0	0.63598216	1.6135725	7.708985	-0.164024	100000	3.6358834e-08	0.1286097	0.019275375	-0.11226177	-1.4379038	0.022770295	0.31	1.0	5906.665259599686
100	11.756141	0.0	11.756141	11.756141	1000.0	0.89541477	1.0789591	7.9152784	0.40974873	101000	1.9681454e-07	0.10147373	0.013945043	-0.088919386	-1.4378978	0.036249418	0.448	3.0	5961.196893930435
101	7.682092	0.057877455	7.7638807	7.6384373	117.666664	1.2499167	2.140831	8.156988	-0.21452057	102000	1.0371208e-07	0.0513774	0.026106123	-0.034853674	-1.4379064	0.048092164	0.522	1.0	6022.356460809708
102	7.893544	0.0	7.893544	7.893544	131.0	0.63873756	1.5815743	7.6994743	-0.61249053	103000	-1.3025105e-07	0.0129995085	0.044387914	-0.005407149	-1.4379336	0.06041571	0.578	1.0	6092.768188714981
103	12.993056	0.0	12.993056	12.993056	1000.0	0.34762463	1.1740934	7.7672977	-0.08373779	104000	1.0836124e-07	0.120747216	0.04887082	-0.112610124	-1.4379656	0.08238915	0.628	1.0	6142.778614044189
104	7.9781156	0.0	7.9781156	7.9781156	134.0	0.9521755	1.6066455	8.132208	-0.253304	105000	-1.0752678e-07	0.05010604	0.04349153	-0.04391813	-1.4379859	0.09479488	0.653	1.0	6192.022938489914
