Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
62	15.635314	0.58588004	16.397903	14.852385	1000.0	1.1467197	1.3033643	7.764366	0.5828936	378000	9.934108e-09	0.013401779	-0.004791996	-0.003177028	0.61538726	0.006088527	0.034	79.0	2857.1300415992737
63	15.211171	0.8741755	16.58979	14.446925	1000.0	1.17909	1.2367725	7.8069715	0.70236397	384000	4.967054e-09	0.0170774	-0.0070273452	-0.006776829	0.6183521	0.0034917041	0.0485	79.0	2908.555240392685
64	15.762609	0.37391603	16.287893	15.074247	1000.0	1.1320256	1.2830905	8.012019	0.5989535	390000	-4.967054e-09	0.011757371	0.001443555	-0.0039566993	0.6004003	0.024139896	0.31016666	2.0	2957.2490363121033
65	15.68172	0.59013855	16.646214	15.017491	1000.0	1.1339538	1.2359169	7.962832	0.68187785	396000	9.934108e-09	0.011828072	-0.00865858	-0.0032154042	0.60037214	0.004568355	0.057833333	79.0	3013.81689786911
66	15.963538	0.43971753	16.923082	15.615784	1000.0	1.1338246	1.2331278	8.028962	0.67084086	402000	6.953875e-08	0.008750962	-0.008186654	-0.0028868464	0.5970091	0.008071804	0.085666664	79.0	3068.845508337021
67	14.529765	2.994068	16.588364	7.928141	1000.0	1.207854	1.3096739	8.170814	0.70720756	408000	-1.9868216e-08	0.5784741	-0.0035939142	-0.2805252	0.5737012	0.003996465	0.055333335	79.0	3120.938396215439
68	9.055355	8.106971	16.618233	-0.3071301	603.2857	1.2261813	1.215955	6.5451818	-0.1001412	414000	2.483527e-09	0.9355481	-0.0067521073	-0.1379807	0.58316016	0.003761226	0.0405	79.0	3182.8155169487
69	13.555226	5.767188	17.370838	0.7252565	911.6667	1.0866108	0.8385021	5.53664	-1.285469	420000	-1.2417635e-09	0.51028675	-0.004992159	-0.19144678	0.59586847	0.004585873	0.039333332	79.0	3235.8986477851868
70	15.779134	0.26567706	16.137108	15.47987	1000.0	1.1431793	1.0279553	6.9158783	0.6938373	426000	5.5879354e-09	0.08746966	-0.0034922399	-0.08319502	0.5849809	0.008747268	0.078	79.0	3282.564401626587
71	15.952171	0.6276653	17.005966	15.136567	1000.0	1.1521835	1.246646	8.002557	0.6947844	432000	1.9868216e-08	0.0112432195	-0.0053312057	-0.0019410352	0.5904599	0.007455269	0.041666668	79.0	3335.361716032028
72	13.248394	6.007277	16.837378	-0.12767579	852.1667	1.2265263	1.3254411	8.164834	-0.5210671	438000	4.967054e-09	0.5291104	-0.0045383484	-0.19783999	0.57732546	0.0053094546	0.039166663	79.0	3394.113921403885
73	15.700619	0.36355796	16.244745	15.207715	1000.0	1.0918478	1.027295	6.9054933	0.71298414	444000	-4.967054e-09	0.071814515	-0.0023102127	-0.06752371	0.59366566	0.015924314	0.262	6.0	3447.670208454132
74	15.662005	0.28418922	16.10162	15.314412	1000.0	1.1221697	1.2176868	8.05572	0.73065406	450000	7.450581e-09	0.007560762	-0.006882357	-0.0017599392	0.5942559	0.009431369	0.07333333	79.0	3499.186478614807
75	16.051603	0.70327264	17.284037	15.068653	1000.0	1.1156542	1.2599874	8.067813	0.5779329	456000	-2.9802322e-08	0.01706796	-0.0059698797	-0.008793086	0.5809736	0.0054683625	0.044333335	79.0	3551.0267305374146
76	16.144327	0.7679787	17.774296	15.398751	1000.0	1.1786364	1.198057	8.070475	0.80788374	462000	3.973643e-08	0.013792763	-0.006740704	-0.0034833772	0.5808832	0.0052332697	0.07383334	79.0	3606.975934743881
77	16.005064	0.3888149	16.692162	15.539142	1000.0	1.1297232	1.1726942	8.093593	0.7224455	468000	-9.934108e-09	0.006052039	0.0030167482	-0.0020183495	0.57510614	0.031737622	0.387	2.0	3660.355249404907
78	13.1992	6.0695367	16.399233	-0.3580585	842.0	1.193757	1.316774	8.13896	0.75151145	474000	-1.4901161e-08	0.4564303	0.0013900921	-0.12529223	0.57491803	0.02295279	0.383	2.0	3720.5425431728363
